-1221664672 function calls (-1221699469 primitive calls) in 3181.945 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35628    0.012    0.000    0.020    0.000 cp1252.py:18(encode)
      222    0.000    0.000    0.020    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.019    0.019 numeric.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _mathtext.py:1(<module>)
       48    0.001    0.000    0.019    0.000 __init__.py:1368(_add_data_doc)
        1    0.000    0.000    0.019    0.019 _npyio_impl.py:1(<module>)
  422/348    0.001    0.000    0.019    0.000 typing.py:371(inner)
17142/17104    0.008    0.000    0.019    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.018    0.018 socket.py:1(<module>)
     4176    0.008    0.000    0.018    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.018    0.018 scale.py:1(<module>)
      737    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     4344    0.009    0.000    0.018    0.000 teacher.py:397(__get_distance_and_direction)
      970    0.001    0.000    0.018    0.000 artist.py:1542(is_alias)
       76    0.000    0.000    0.017    0.000 __init__.py:469(entry_points)
        1    0.000    0.000    0.017    0.017 lines.py:1(<module>)
        1    0.000    0.000    0.017    0.017 pdb.py:1(<module>)
        1    0.000    0.000    0.017    0.017 cbook.py:1(<module>)
       62    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
18455/18446    0.014    0.000    0.016    0.000 {method 'join' of 'str' objects}
      409    0.001    0.000    0.016    0.000 rcsetup.py:332(validate_color)
        1    0.001    0.001    0.016    0.016 _parser.py:1(<module>)
        2    0.000    0.000    0.016    0.008 _adapters.py:1(<module>)
       76    0.000    0.000    0.015    0.000 __init__.py:810(read_text)
     1206    0.005    0.000    0.015    0.000 decorators.py:767(__call__)
      412    0.000    0.000    0.015    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.015    0.015 format.py:1(<module>)
        1    0.000    0.000    0.015    0.015 ticker.py:1(<module>)
        1    0.000    0.000    0.014    0.014 shutil.py:1(<module>)
     1029    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1465(_path_importer_cache)
      438    0.001    0.000    0.014    0.000 colors.py:275(to_rgba)
 1111/222    0.006    0.000    0.014    0.000 _compiler.py:37(_compile)
       76    0.000    0.000    0.014    0.000 pathlib.py:1023(read_text)
        1    0.000    0.000    0.014    0.014 _internal.py:1(<module>)
      200    0.000    0.000    0.014    0.000 pyplot.py:162(_copy_docstring_and_deprecators)
     1435    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:162(__enter__)
       71    0.013    0.000    0.013    0.000 {built-in method nt.listdir}
       62    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1452(_path_hooks)
        1    0.000    0.000    0.013    0.013 shape_base.py:1(<module>)
      169    0.001    0.000    0.013    0.000 colors.py:317(_to_rgba_no_colorcycle)
      100    0.001    0.000    0.013    0.000 pyplot.py:195(_add_pyplot_note)
        1    0.000    0.000    0.013    0.013 axis3d.py:1(<module>)
       76    0.000    0.000    0.013    0.000 pathlib.py:1006(open)
        1    0.000    0.000    0.012    0.012 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.012    0.012 plistlib.py:1(<module>)
5076/4631    0.005    0.000    0.012    0.000 {built-in method __new__ of type object at 0x00007FFD2D2713D0}
        1    0.000    0.000    0.012    0.012 message.py:1(<module>)
        1    0.000    0.000    0.012    0.012 transforms.py:1(<module>)
        1    0.000    0.000    0.011    0.011 PngImagePlugin.py:1(<module>)
      922    0.008    0.000    0.011    0.000 inspect.py:3015(__init__)
        1    0.000    0.000    0.011    0.011 dates.py:1(<module>)
